indications
ช่วยลดความเสี่ยงของ ไข้หวัด
รักษาอาการ ไขมันในเลือดสูง
รักษาและป้องกัน ติดเชื้อทางเดินหายใจ
ป้องกันการเกิด อาการแพ้
บรรเทาอาการของ ปวดศีรษะ
ใช้ในการบำบัด การติดเชื้อในระบบทางเดินปัสสาวะ
ช่วยลดความเสี่ยงของ เจ็บคอ
ใช้เมื่อมีอาการ ปวดข้อ
ป้องกันการเกิด อาการเวียนศีรษะ
รักษาอาการ ไอ
ใช้เมื่อมีอาการ อาการแพ้
รักษาและป้องกัน ไมเกรน
ป้องกันการเกิด เบาหวาน
ช่วยลดความเสี่ยงของ แผลในกระเพาะอาหาร
รักษาและป้องกัน เหงือกอักเสบ
ช่วยลดความเสี่ยงของ การอักเสบ
รักษาและป้องกัน ปวดข้อ
สำหรับผู้ป่วยที่มีอาการ ไข้หวัด
รักษาอาการ ปวดศีรษะ
รักษาและป้องกัน อาการแพ้
ใช้สำหรับรักษา ปวดศีรษะ
ช่วยลดความเสี่ยงของ แผลในกระเพาะอาหาร
รักษาและป้องกัน ฟันผุ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ไมเกรน
ช่วยลดความเสี่ยงของ ตาแดง
บรรเทาอาการของ ติดเชื้อแบคทีเรีย
สำหรับผู้ป่วยที่มีอาการ คลื่นไส้อาเจียน
ใช้สำหรับรักษา ติดเชื้อทางเดินหายใจ
ช่วยลดความเสี่ยงของ ปวดศีรษะ
บรรเทาอาการของ อาการเวียนศีรษะ
ป้องกันการเกิด การติดเชื้อในระบบทางเดินปัสสาวะ
ป้องกันการเกิด โรคผิวหนัง
รักษาและป้องกัน เบาหวาน
ป้องกันการเกิด เบาหวาน
ใช้ในการบำบัด ไมเกรน
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ฟันผุ
รักษาอาการ อาการเวียนศีรษะ
ป้องกันการเกิด ปวดข้อ
ช่วยลดความเสี่ยงของ ปวดศีรษะ
รักษาและป้องกัน ปวดศีรษะ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง โรคหืด
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง อาการเวียนศีรษะ
ช่วยลดความเสี่ยงของ ไขมันในเลือดสูง
บรรเทาอาการของ แผลเรื้อรัง
ป้องกันการเกิด อาการเวียนศีรษะ
ใช้ในการบำบัด ไขมันในเลือดสูง
สำหรับผู้ป่วยที่มีอาการ เหงือกอักเสบ
บรรเทาอาการของ เจ็บคอ
ป้องกันการเกิด ความดันโลหิตสูง
ป้องกันการเกิด ความดันโลหิตสูง
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ปวดศีรษะ
รักษาอาการ อาการแพ้
ช่วยลดความเสี่ยงของ การอักเสบ
รักษาอาการ โรคหืด
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง โรคหืด
ใช้เมื่อมีอาการ ปวดข้อ
ป้องกันการเกิด ความดันโลหิตสูง
ใช้สำหรับรักษา ความดันโลหิตสูง
ใช้เมื่อมีอาการ ติดเชื้อทางเดินหายใจ
ใช้สำหรับรักษา ปวดข้อ
รักษาอาการ ฟันผุ
ใช้เมื่อมีอาการ เบื่ออาหาร
รักษาอาการ เหงือกอักเสบ
สำหรับผู้ป่วยที่มีอาการ เจ็บคอ
บรรเทาอาการของ โรคกระเพาะ
ใช้เมื่อมีอาการ คลื่นไส้อาเจียน
ช่วยลดความเสี่ยงของ ความดันโลหิตสูง
รักษาอาการ การอักเสบ
รักษาและป้องกัน คลื่นไส้อาเจียน
รักษาอาการ เบื่ออาหาร
ใช้ในการบำบัด ท้องเสีย
ใช้ในการบำบัด ปวดศีรษะ
รักษาอาการ การติดเชื้อในระบบทางเดินปัสสาวะ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ติดเชื้อทางเดินหายใจ
ใช้ในการบำบัด ท้องเสีย
รักษาและป้องกัน ไอ
ช่วยลดความเสี่ยงของ สิว
ใช้เมื่อมีอาการ ปวดศีรษะ
รักษาและป้องกัน ฟันผุ
บรรเทาอาการของ ไขมันในเลือดสูง
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง อาการเวียนศีรษะ
รักษาอาการ ไข้หวัด
สำหรับผู้ป่วยที่มีอาการ ตาแดง
ป้องกันการเกิด อาการแพ้
รักษาและป้องกัน โรคกระเพาะ
บรรเทาอาการของ ติดเชื้อแบคทีเรีย
ใช้เมื่อมีอาการ เบาหวาน
ป้องกันการเกิด ติดเชื้อแบคทีเรีย
บรรเทาอาการของ การอักเสบ
รักษาอาการ ไข้หวัด
รักษาและป้องกัน การอักเสบ
สำหรับผู้ป่วยที่มีอาการ คลื่นไส้อาเจียน
ช่วยลดความเสี่ยงของ เบาหวาน
ใช้ในการบำบัด ท้องเสีย
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง โรคหืด
ใช้สำหรับรักษา ไมเกรน
ป้องกันการเกิด ไขมันในเลือดสูง
ช่วยลดความเสี่ยงของ ไข้หวัด
ใช้เมื่อมีอาการ ไมเกรน
ใช้ในการบำบัด ปวดศีรษะ
รักษาและป้องกัน ตาแดง
ใช้ในการบำบัด เหงือกอักเสบ
สำหรับผู้ป่วยที่มีอาการ ปวดข้อ
บรรเทาอาการของ ไขมันในเลือดสูง
รักษาและป้องกัน แผลในกระเพาะอาหาร
ช่วยลดความเสี่ยงของ ติดเชื้อทางเดินหายใจ
ใช้ในการบำบัด ท้องเสีย
ใช้เมื่อมีอาการ การอักเสบ
รักษาอาการ ไข้หวัด
ใช้สำหรับรักษา ติดเชื้อทางเดินหายใจ
ป้องกันการเกิด ภูมิแพ้
สำหรับผู้ป่วยที่มีอาการ สิว
รักษาและป้องกัน สิว
รักษาอาการ ติดเชื้อแบคทีเรีย
ใช้สำหรับรักษา แผลเรื้อรัง
สำหรับผู้ป่วยที่มีอาการ ท้องผูก
ช่วยลดความเสี่ยงของ โรคกระเพาะ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง โรคหืด
ใช้ในการบำบัด ท้องเสีย
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ไข้เลือดออก
สำหรับผู้ป่วยที่มีอาการ ภูมิแพ้
ใช้ในการบำบัด แผลในกระเพาะอาหาร
ป้องกันการเกิด อาการเวียนศีรษะ
สำหรับผู้ป่วยที่มีอาการ การติดเชื้อในระบบทางเดินปัสสาวะ
รักษาและป้องกัน แผลเรื้อรัง
ป้องกันการเกิด เจ็บคอ
รักษาและป้องกัน ไมเกรน
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ไมเกรน
บรรเทาอาการของ คลื่นไส้อาเจียน
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ปวดข้อ
ใช้สำหรับรักษา การอักเสบ
ใช้เมื่อมีอาการ การติดเชื้อในระบบทางเดินปัสสาวะ
ป้องกันการเกิด ปวดศีรษะ
สำหรับผู้ป่วยที่มีอาการ แผลในกระเพาะอาหาร
ใช้ในการบำบัด ไข้เลือดออก
รักษาอาการ เจ็บคอ
ใช้สำหรับรักษา ไอ
ช่วยลดความเสี่ยงของ ฟันผุ
สำหรับผู้ป่วยที่มีอาการ ตาแดง
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง โรคผิวหนัง
ป้องกันการเกิด แผลเรื้อรัง
ใช้ในการบำบัด ปวดศีรษะ
รักษาและป้องกัน ไอ
ช่วยลดความเสี่ยงของ โรคผิวหนัง
ใช้ในการบำบัด ปวดศีรษะ
ใช้เมื่อมีอาการ ท้องเสีย
ป้องกันการเกิด แผลในกระเพาะอาหาร
ใช้เมื่อมีอาการ ติดเชื้อทางเดินหายใจ
ช่วยลดความเสี่ยงของ โรคกระเพาะ
รักษาอาการ ไข้เลือดออก
ใช้สำหรับรักษา ฟันผุ
รักษาและป้องกัน ไอ
รักษาอาการ การอักเสบ
ป้องกันการเกิด อาการแพ้
ใช้ในการบำบัด โรคหืด
ใช้เมื่อมีอาการ ท้องเสีย
รักษาและป้องกัน ท้องผูก
สำหรับผู้ป่วยที่มีอาการ โรคกระเพาะ
ช่วยลดความเสี่ยงของ โรคผิวหนัง
บรรเทาอาการของ ไมเกรน
ช่วยลดความเสี่ยงของ เจ็บคอ
ป้องกันการเกิด โรคผิวหนัง
ใช้ในการบำบัด ไข้เลือดออก
ใช้สำหรับรักษา ไข้เลือดออก
รักษาอาการ ไข้เลือดออก
รักษาและป้องกัน ปวดศีรษะ
บรรเทาอาการของ ปวดข้อ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง เจ็บคอ
รักษาอาการ แผลเรื้อรัง
สำหรับผู้ป่วยที่มีอาการ โรคผิวหนัง
ใช้สำหรับรักษา ตาแดง
รักษาและป้องกัน ติดเชื้อแบคทีเรีย
สำหรับผู้ป่วยที่มีอาการ การอักเสบ
ใช้เมื่อมีอาการ แผลเรื้อรัง
รักษาอาการ ไมเกรน
ใช้เมื่อมีอาการ เจ็บคอ
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ติดเชื้อแบคทีเรีย
ป้องกันการเกิด ไมเกรน
บรรเทาอาการของ ไข้เลือดออก
ใช้ในการบำบัด ไขมันในเลือดสูง
ใช้ในการบำบัด การอักเสบ
รักษาและป้องกัน เบื่ออาหาร
บรรเทาอาการของ โรคหืด
รักษาและป้องกัน อาการเวียนศีรษะ
รักษาอาการ ไข้หวัด
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง เบาหวาน
ป้องกันการเกิด ปวดศีรษะ
สำหรับผู้ป่วยที่มีอาการ ไมเกรน
ใช้ในการบำบัด ตาแดง
เหมาะสำหรับผู้ที่มีปัญหาเรื่อง ปวดศีรษะ
